央视频道,#genre#
CCTV1,https://epg.112114.xyz/logo/CCTV1.png,webview://https://www.yangshipin.cn/tv/home?pid=600001859#webview://https://tv.cctv.com/live/cctv1/
CCTV2,https://epg.112114.xyz/logo/CCTV2.png,webview://https://www.yangshipin.cn/tv/home?pid=600001800#webview://https://tv.cctv.com/live/cctv2/
CCTV3,https://epg.112114.xyz/logo/CCTV3.png,webview://https://www.yangshipin.cn/tv/home?pid=600001801#webview://https://tv.cctv.com/live/cctv3/
CCTV4,https://epg.112114.xyz/logo/CCTV4.png,webview://https://www.yangshipin.cn/tv/home?pid=600001814#webview://https://tv.cctv.com/live/cctv4/
CCTV5,https://epg.112114.xyz/logo/CCTV5.png,webview://https://www.yangshipin.cn/tv/home?pid=600001818#webview://https://tv.cctv.com/live/cctv5/
CCTV5plus,https://epg.112114.xyz/logo/CCTV5+.png,webview://https://www.yangshipin.cn/tv/home?pid=600001817#webview://https://tv.cctv.com/live/cctv5plus/
CCTV7,https://epg.112114.xyz/logo/CCTV7.png,webview://https://www.yangshipin.cn/tv/home?pid=600004092#webview://https://tv.cctv.com/live/cctv7/
CCTV8,https://epg.112114.xyz/logo/CCTV8.png,webview://https://www.yangshipin.cn/tv/home?pid=600001803#webview://https://tv.cctv.com/live/cctv8/
CCTV9,https://epg.112114.xyz/logo/CCTV9.png,webview://https://www.yangshipin.cn/tv/home?pid=600004078#webview://https://tv.cctv.com/live/cctv9/
CCTV10,https://epg.112114.xyz/logo/CCTV10.png,webview://https://www.yangshipin.cn/tv/home?pid=600001805#webview://https://tv.cctv.com/live/cctv10/
CCTV11,https://epg.112114.xyz/logo/CCTV11.png,webview://https://www.yangshipin.cn/tv/home?pid=600001806#webview://https://tv.cctv.com/live/cctv11/
CCTV12,https://epg.112114.xyz/logo/CCTV12.png,webview://https://www.yangshipin.cn/tv/home?pid=600001807#webview://https://tv.cctv.com/live/cctv12/
CCTV13,https://epg.112114.xyz/logo/CCTV13.png,webview://https://www.yangshipin.cn/tv/home?pid=600001811#webview://https://tv.cctv.com/live/cctv13/
CCTV14,https://epg.112114.xyz/logo/CCTV14.png,webview://https://www.yangshipin.cn/tv/home?pid=600001809#webview://https://tv.cctv.com/live/cctv14/
CCTV15,https://epg.112114.xyz/logo/CCTV15.png,webview://https://www.yangshipin.cn/tv/home?pid=600001815#webview://https://tv.cctv.com/live/cctv15/
CCTV16,https://epg.112114.xyz/logo/CCTV16.png,webview://https://www.yangshipin.cn/tv/home?pid=600099502#webview://https://tv.cctv.com/live/cctv16/

卫视频道,#genre#
北京卫视,https://epg.112114.xyz/logo/北京卫视.png,webview://https://www.yangshipin.cn/tv/home?pid=600002309#webview://https://www.btime.com/btv/btvsy_index
江苏卫视,https://epg.112114.xyz/logo/江苏卫视.png,webview://https://www.yangshipin.cn/tv/home?pid=600002521
东方卫视,https://epg.112114.xyz/logo/东方卫视.png,webview://https://www.yangshipin.cn/tv/home?pid=600002483
浙江卫视,https://epg.112114.xyz/logo/浙江卫视.png,webview://https://www.yangshipin.cn/tv/home?pid=600002520#webview://https://www.cztv.com/liveTV
浙江国际,https://epg.112114.xyz/logo/浙江国际.png,webview://https://www.cztv.com/liveTV/110
浙江少儿,https://epg.112114.xyz/logo/浙江少儿.png,webview://https://www.cztv.com/liveTV/108
湖南卫视,https://epg.112114.xyz/logo/湖南卫视.png,webview://https://www.yangshipin.cn/tv/home?pid=600002475
湖北卫视,https://epg.112114.xyz/logo/湖北卫视.png,webview://https://www.yangshipin.cn/tv/home?pid=600002508
广东卫视,https://epg.112114.xyz/logo/广东卫视.png,webview://https://www.yangshipin.cn/tv/home?pid=600002485#webview://https://www1.gdtv.cn/tvChannelDetail/43
深圳卫视,https://epg.112114.xyz/logo/深圳卫视.png,webview://https://www.yangshipin.cn/tv/home?pid=600002481
四川卫视,https://epg.112114.xyz/logo/四川卫视.png,webview://https://www.yangshipin.cn/tv/home?pid=600002516
贵州卫视,https://epg.112114.xyz/logo/贵州卫视.png,webview://https://www.yangshipin.cn/tv/home?pid=600002490
江西卫视,https://epg.112114.xyz/logo/江西卫视.png,webview://https://www.yangshipin.cn/tv/home?pid=600002503#webview://https://www.jxntv.cn/live/#/jxtv1
安徽卫视,https://epg.112114.xyz/logo/安徽卫视.png,webview://https://www.yangshipin.cn/tv/home?pid=600002532
山东卫视,https://epg.112114.xyz/logo/山东卫视.png,webview://https://www.yangshipin.cn/tv/home?pid=600002513
